Title,Artist,Album,Status,Match Path
Differentology (Major Lazer Remix) (SoundMan Club Hitter),Bunji Garlin,,NOT_FOUND,
Everything Remains Raw,Busta Rhymes,,NOT_FOUND,
Gonna Make You Sweat (Everybody Dance Now),C & C Music Factory,1991 Top 100,NOT_FOUND,
"Here We Go, Let's Rock & Roll",C & C Music Factory,1991 Top 100,NOT_FOUND,
Things That Make You Go Hmmmm,C & C Music Factory,1991 Top 100,NOT_FOUND,
Teach me how to dougie,California Swag District,www.djyellow.com,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/California Swag District - Teach me how to dougie.mp3
I Wanna Be Rich,Calloway,1990 Top 100,NOT_FOUND,
Blame Acapella,Calvin Harris,,NOT_FOUND,
Blame Acapella,Calvin Harris,,NOT_FOUND,
Outside (SoundMan Club Hitter),Calvin Harris,,NOT_FOUND,
Summer (Bombs Away Remix),Calvin Harris,,NOT_FOUND,
Summer Acapella,Calvin Harris,,NOT_FOUND,
We'll Be Coming Back (SoundMan Quick Hitter),Calvin Harris,,NOT_FOUND,
How Deep Is Your Love (Single Version),Calvin Harris & Disciples,,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/Calvin_Harris___Disciples-How_Deep_Is_Your_Love-Single_Version-122.mp3
Sweet Nothing (SoundMan Quick Intro),Calvin Harris Feat. Florence Welch,,NOT_FOUND,
Blame (Acapella),Calvin Harris feat. John Newman,,NOT_FOUND,
More And More,Captain Hollywood Project,,NOT_FOUND,
Toca (Original Mix),Carnage feat. Timmy Trumpet & KSHMR,drunkenbeat.net,NOT_FOUND,
"Touch Me, Tease Me",Case Featuring Foxy Brown,,NOT_FOUND,
Touch Me (All Night Long),Cathy Dennis,1991 Top 100,NOT_FOUND,
Too Many Walls,Cathy Dennis,,NOT_FOUND,
Just Another Dream,Cathy Dennis,,NOT_FOUND,
Finally,CeCe Peniston,Living in the 90'S -- Disk 1,NOT_FOUND,
Keep On Walkin',CeCe Peniston,,NOT_FOUND,
We Got A Love Thang,CeCe Peniston,,NOT_FOUND,
Beauty And The Beast (Duet With Peabo Bryson),Celine Dion,My Love-Ultimate Essential Collection,NOT_FOUND,
The Power Of Love,Celine Dion,The very best of,NOT_FOUND,
Where Does My Heart Beat Now,Celine Dion,1991 Top 100,NOT_FOUND,
If You Asked Me To,Celine Dion,1992 Top 100,NOT_FOUND,
Because You Loved Me,Celine Dion,,NOT_FOUND,
It's All Coming Back To Me Now,Celine Dion,,NOT_FOUND,
All By Myself,Celine Dion,,NOT_FOUND,
It's All Coming Back To Me Now,Celine Dion,,NOT_FOUND,
G.H.E.T.T.O.U.T,Changing Faces,1997,NOT_FOUND,
Stroke You Up,Changing Faces,,NOT_FOUND,
Would I Like To You,Charles & Eddie,20 Ans RTL 2,NOT_FOUND,
Wine & Kotch instrumental,Charly Black and J Capri,,NOT_FOUND,
Just Like Jesse James,Cher,,NOT_FOUND,
The One And Only,Chesney Hawkes,,NOT_FOUND,
What Kind Of Man Would I Be (Remix),Chicago,Greatest Hits 1982-1989,NOT_FOUND,
Wicked Game,Chris Isaak,1991 Top 100,NOT_FOUND,
Who Is Ready To Jump (Chuckie Jump Around Bootleg),Chuckie,,NOT_FOUND,
In Da Club,"Clyde Carson, Sean Kingston and The Game",In Da Club Single,MATCH,/Users/patrickmoniqui/Music/MUSIQUE/In Da Club.mp3
Shine,Collective Soul,,NOT_FOUND,
December,Collective Soul,,NOT_FOUND,
The World I Know,Collective Soul,,NOT_FOUND,
I Wanna Sex You Up,Color Me Badd,,NOT_FOUND,
All 4 Love,Color Me Badd,,NOT_FOUND,
I Adore Mi Amor,Color Me Badd,,NOT_FOUND,
"The Earth, The Sun, The Rain",Color Me Badd,,NOT_FOUND,
Slow Motion,Color Me Badd,,NOT_FOUND,
Thinkin' Back,Color Me Badd,,NOT_FOUND,
Gangstas Paradise,Coolio,,NOT_FOUND,
"1, 2, 3, 4 (Sumpin' New)",Coolio,,NOT_FOUND,
Gangsta's Paradise,Coolio & LV,Billboard Hits - 1995 - Disk 1,NOT_FOUND,
Temptation,Corina,1991 Top 100,NOT_FOUND,
We Can't Go Wrong,Cover Girls,1990 Top 100,NOT_FOUND,
Wishing On A Star,Cover Girls,,NOT_FOUND,
